Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,MAGN_SLAVE_SELECT,GPIO,Digital,In/Out,Low,,,NORMAL
2,PA01,IMU_SLAVE_SELECT,GPIO,Digital,In/Out,Low,,,NORMAL
3,PA02,IMU_INT1,GPIO,Digital,In/Out,Low,,,NORMAL
4,PA03,IMU_INT2,GPIO,Digital,In/Out,Low,,,NORMAL
5,PB04,,Available,,,,,,NORMAL
6,PB05,,Available,,,,,,NORMAL
9,PB06,,Available,,,,,,NORMAL
10,PB07,,Available,,,,,,NORMAL
11,PB08,PAD0,SERCOM4_PAD0,Digital,In/Out,Low,,,NORMAL
12,PB09,PAD1,SERCOM4_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
13,PA04,,Available,,,,,,NORMAL
14,PA05,BATT_LED,GPIO,Digital,In/Out,Low,,,NORMAL
15,PA06,PWR_STATUS,GPIO,Digital,In,n/a,Yes,No,NORMAL
16,PA07,GPIO1,GPIO,Digital,In/Out,Low,,,NORMAL
17,PA08,,SDHC0_SDCMD,Digital,High Impedance,n/a,No,No,NORMAL
18,PA09,,SDHC0_SDDAT0,Digital,High Impedance,n/a,No,No,NORMAL
19,PA10,,SDHC0_SDDAT1,Digital,High Impedance,n/a,No,No,NORMAL
20,PA11,,SDHC0_SDDAT2,Digital,High Impedance,n/a,No,No,NORMAL
23,PB10,,SDHC0_SDDAT3,Digital,High Impedance,n/a,No,No,NORMAL
24,PB11,,SDHC0_SDCK,Digital,High Impedance,n/a,No,No,NORMAL
25,PB12,,SDHC0_SDCD,Digital,High Impedance,n/a,No,No,NORMAL
26,PB13,,Available,,,,,,NORMAL
27,PB14,PAD2,SERCOM4_PAD2,Digital,In/Out,Low,,,NORMAL
28,PB15,PAD3,SERCOM4_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
29,PA12,ERR_LED,GPIO,Digital,In/Out,Low,,,NORMAL
30,PA13,MCU_LED,GPIO,Digital,In/Out,Low,,,NORMAL
31,PA14,,Available,,,,,,NORMAL
32,PA15,,Available,,,,,,NORMAL
35,PA16,,Available,,,,,,NORMAL
36,PA17,,Available,,,,,,NORMAL
37,PA18,,Available,,,,,,NORMAL
38,PA19,FRAM_PGM,GPIO,Digital,In/Out,Low,,,NORMAL
39,PB16,,Available,,,,,,NORMAL
40,PB17,,Available,,,,,,NORMAL
41,PA20,,Available,,,,,,NORMAL
42,PA21,FRAM_RX,SERCOM3_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
43,PA22,FRAM_TX,SERCOM3_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
44,PA23,PWR_LED,GPIO,Digital,In/Out,Low,,,NORMAL
45,PA24,,Available,,,,,,NORMAL
46,PA25,,Available,,,,,,NORMAL
49,PB22,,Available,,,,,,NORMAL
50,PB23,,Available,,,,,,NORMAL
51,PA27,,Available,,,,,,NORMAL
57,PA30,,Available,,,,,,NORMAL
58,PA31,,Available,,,,,,NORMAL
59,PB30,PT_SLAVE_SELECT,GPIO,Digital,In/Out,Low,,,NORMAL
60,PB31,,Available,,,,,,NORMAL
61,PB00,MAGN_INT,GPIO,Digital,In/Out,Low,,,NORMAL
62,PB01,SENSORS_MOSI,SERCOM5_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
63,PB02,SENSORS_MISO,SERCOM5_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
64,PB03,SENSORS_CLK,SERCOM5_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
